,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_001E,B01001_002E,B01001_005E,B01001_006E,B01001_007E,B01001_026E,B01001_029E,B01001_030E,B01001_031E,state,county
10,"Essex County, New York",28731,218,0,6,15,16,11,22,88,131,322,419,458,561,268,7743,1708,1731,3814,3269,4535,2653,386,346,37751,19622,820,723,393,18129,813,604,348,36,031
11,"Nassau County, New York",940610,13006,139,120,469,1503,2578,3827,8636,4405,6638,7848,7669,8385,14926,196980,19559,40923,101834,73886,232755,134862,43720,13750,1356564,659405,43149,28261,17464,697159,40865,26888,16475,36,059
12,"Schuyler County, New York",13200,158,5,0,0,0,0,18,39,25,199,155,367,206,242,4054,770,976,1664,1385,1745,887,146,159,17992,8979,553,358,190,9013,425,342,152,36,097
13,"Chenango County, New York",34458,256,2,0,0,6,14,27,22,176,537,570,930,997,530,11262,2177,2549,4011,4068,3470,2428,196,221,48348,24227,1618,953,532,24121,1364,971,474,36,017
14,"Jefferson County, New York",72369,574,0,14,19,45,7,73,78,306,643,758,1394,1606,854,20287,4303,5901,10223,9083,9305,5455,975,380,114448,59931,3313,1941,1734,54517,3436,2109,1153,36,045
15,"Suffolk County, New York",1028820,16591,226,196,735,1025,2381,4143,6990,3879,7448,10773,9774,13102,18963,259176,28362,58866,121948,95513,200412,123542,27310,15084,1487901,732269,49735,31418,20201,755632,46238,30242,18055,36,103
16,"Wyoming County, New York",29144,155,13,0,13,10,21,83,123,190,278,405,581,625,488,9601,2260,1942,3471,4027,2994,1544,209,74,40565,21734,1222,731,494,18831,1114,750,345,36,121
17,"Oswego County, New York",80149,813,17,30,0,1,10,22,278,338,1175,1403,2252,1998,1467,24063,6112,5675,9108,10493,8774,5099,582,439,119104,59648,3618,2404,2228,59456,3547,2266,2342,36,075
18,"Wayne County, New York",63828,755,4,0,0,18,18,34,234,110,943,778,1354,1221,1209,18480,3597,4525,7573,8686,8142,5083,617,387,90856,44971,3028,1779,1078,45885,2823,1789,929,36,117
19,"Broome County, New York",128950,1437,9,0,0,16,41,193,343,340,1029,1358,2385,2748,2302,32249,7830,8567,14926,16591,20188,12183,2298,1805,194402,95608,5125,3573,4330,98794,5187,3333,4052,36,007
20,"Erie County, New York",643713,6599,35,147,111,273,757,1061,1546,1354,5445,6371,9928,11088,10138,151304,27296,34897,82527,75627,120854,71410,14397,9975,919866,444998,27547,17577,12441,474868,25467,16877,12183,36,029
21,"Sullivan County, New York",53101,648,0,1,70,29,125,86,359,225,914,1229,1380,1413,842,14717,3117,2488,7344,5777,6934,4241,689,450,75211,38595,2380,1457,977,36616,2277,1415,849,36,105
22,"Orange County, New York",240918,3425,7,13,95,127,303,465,1462,430,2055,3034,3323,5191,4565,60444,11008,14679,33467,24755,41463,24484,3631,2213,378227,189484,14518,8982,6443,188743,13712,8462,4993,36,071
23,"Bronx County, New York",924137,37693,330,319,1795,4326,7663,10819,22016,10615,27184,27684,31567,36935,31629,208161,47266,37711,121719,67190,118587,48825,9318,6404,1437872,676963,49109,29767,20207,760909,48282,28689,19407,36,005
24,"Onondaga County, New York",315658,3670,36,79,86,99,240,525,721,722,2482,3623,5229,6087,5369,67126,12634,19883,36692,38062,62616,35784,8252,5267,464242,223995,14040,9179,7509,240247,14105,8917,8585,36,067
25,"Clinton County, New York",54954,657,0,0,0,0,125,87,115,267,1021,894,1430,1400,615,16105,4400,3201,6305,5697,6377,4814,838,559,80794,41499,2090,1312,1624,39295,2099,1230,1857,36,019
26,"Seneca County, New York",24803,272,1,0,0,0,12,36,67,114,733,447,822,698,383,6534,2131,1650,2763,2932,2985,1764,206,226,34612,18096,1050,637,347,16516,1045,635,300,36,099
27,"Putnam County, New York",70298,767,0,0,0,62,98,242,591,167,384,416,562,614,862,16856,2070,3424,8444,6526,16003,9252,1572,1200,99070,49296,3199,2104,1225,49774,3190,2137,1063,36,079
28,"Herkimer County, New York",43844,580,8,0,5,0,73,17,100,124,590,526,876,908,579,13258,2978,3117,5035,5861,5303,3189,406,290,62505,30918,1895,1232,958,31587,1989,1152,791,36,043
29,"Ontario County, New York",76734,659,0,15,0,33,61,109,84,92,468,507,740,1267,977,17151,3384,5365,8796,10518,14511,9318,1402,1243,109472,53704,3673,2261,1597,55768,3225,2009,1559,36,069
30,"Steuben County, New York",68069,536,10,21,17,26,58,97,82,276,1006,766,1325,1481,1095,21380,4059,4787,6498,8805,8119,6031,749,830,96927,48397,3119,2025,1092,48530,2787,1864,1092,36,101
31,"Hamilton County, New York",3536,29,4,0,0,0,1,11,12,2,34,50,223,98,152,918,89,191,615,425,314,315,33,19,4575,2347,117,69,96,2228,74,59,67,36,041
32,"Chautauqua County, New York",89858,898,11,20,0,83,25,79,325,214,1479,1422,2241,1918,1207,26594,5628,6810,9347,11972,10819,6996,952,755,129656,63960,4297,2552,2205,65696,3743,2409,2241,36,013
33,"Kings County, New York",1777281,49482,448,761,1628,3535,7244,15523,33107,12101,31501,36043,30885,37212,59247,384657,70642,56752,181314,108986,390322,193369,45625,19145,2600747,1231912,79275,45211,26294,1368835,75052,44195,25694,36,047
34,"Tioga County, New York",34739,247,0,0,2,4,3,25,16,86,309,304,747,804,640,10338,2211,2598,3690,3861,5552,2780,354,163,49045,24264,1510,1003,521,24781,1632,976,468,36,107
