,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_001E,B01001_002E,B01001_005E,B01001_006E,B01001_007E,B01001_026E,B01001_029E,B01001_030E,B01001_031E,state,zip code tabulation area
1579,ZCTA5 13208,14469,960,0,0,5,54,19,61,131,66,318,622,428,633,513,3229,847,1024,1674,1259,1625,720,120,92,22833,11122,805,462,144,11711,927,610,204,36,13208
1580,ZCTA5 13302,1241,22,0,2,0,0,0,0,5,11,69,41,95,61,23,417,98,84,86,146,44,37,0,0,1826,976,37,50,12,850,37,43,8,36,13302
1581,ZCTA5 13652,1098,25,0,0,3,0,0,0,0,11,14,24,20,12,28,375,75,100,71,175,87,61,14,3,1548,775,20,31,29,773,79,36,3,36,13652
1582,ZCTA5 13662,11615,135,0,0,0,0,0,0,9,59,188,165,160,155,189,3831,777,615,1340,1169,1427,1178,141,77,16267,7657,645,311,201,8610,546,335,138,36,13662
1583,ZCTA5 13673,1381,10,0,0,0,0,0,0,0,5,4,6,49,23,13,516,68,150,188,138,122,83,4,2,2142,1087,64,20,30,1055,60,31,22,36,13673
1584,ZCTA5 13675,99,0,0,0,0,0,0,0,0,0,9,9,0,0,0,37,7,0,9,7,21,0,0,0,149,78,0,14,0,71,0,0,11,36,13675
1585,ZCTA5 13676,8374,63,0,0,0,0,0,0,0,32,64,60,176,74,95,2029,493,351,911,770,1248,1377,128,503,16637,8670,377,196,1555,7967,347,356,1396,36,13676
1586,ZCTA5 13684,691,6,0,0,0,0,0,0,0,2,9,5,17,15,9,220,35,41,58,93,91,49,0,41,1006,583,29,27,3,423,11,11,8,36,13684
1587,ZCTA5 13690,513,2,0,0,0,0,0,0,0,0,15,9,33,23,8,125,45,52,66,52,33,32,15,3,633,334,5,0,0,299,10,4,4,36,13690
1588,ZCTA5 13731,812,4,0,0,0,0,0,0,0,0,3,14,3,13,13,219,19,36,121,79,217,61,8,2,923,452,12,3,0,471,11,24,4,36,13731
1589,ZCTA5 13744,842,5,0,0,0,0,0,0,0,0,0,0,21,19,0,256,59,107,62,106,147,42,9,9,1142,577,26,12,16,565,19,0,0,36,13744
1590,ZCTA5 13746,1500,0,0,0,0,0,0,0,2,9,0,15,9,65,13,624,47,111,106,158,214,109,0,18,1954,997,123,23,11,957,0,67,13,36,13746
1591,ZCTA5 13753,3136,27,0,0,0,0,0,0,0,18,28,13,46,16,36,674,147,163,282,542,557,514,42,23,5651,2858,79,55,614,2793,87,87,473,36,13753
1592,ZCTA5 13776,435,0,0,0,0,0,0,0,0,6,0,0,9,5,2,101,14,23,51,40,115,54,13,2,546,236,18,8,4,310,21,11,14,36,13776
1593,ZCTA5 13780,638,8,0,0,0,0,0,0,0,0,23,8,9,16,28,143,68,83,69,65,103,10,5,0,929,458,29,38,13,471,49,0,0,36,13780
1594,ZCTA5 13796,1018,6,0,0,0,0,0,0,0,0,22,3,6,27,5,320,64,72,91,113,191,58,14,26,1362,695,20,45,0,667,30,4,0,36,13796
1595,ZCTA5 13802,470,5,0,0,0,0,0,0,0,0,0,5,0,19,5,207,32,22,28,65,35,42,5,0,711,318,8,14,0,393,32,22,0,36,13802
1596,ZCTA5 13813,557,4,0,0,0,0,0,0,0,0,0,0,4,36,7,218,20,6,38,79,85,60,0,0,752,438,50,44,27,314,24,21,0,36,13813
1597,ZCTA5 13825,2132,5,0,0,0,0,0,0,14,0,21,44,59,10,16,532,181,153,307,170,321,270,10,19,2914,1416,55,60,10,1498,17,16,57,36,13825
1598,ZCTA5 13865,4342,37,0,0,0,0,0,4,0,14,0,44,81,73,98,1401,297,284,392,669,565,345,37,1,6297,3164,222,247,74,3133,152,36,156,36,13865
